# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_count{method="GetPatient"} 1291
response_time_bucket{method="GetPatient",le="1"} 0
response_time_bucket{method="GetPatient",le="2"} 0
response_time_bucket{method="GetPatient",le="3"} 0
response_time_bucket{method="GetPatient",le="4"} 0
response_time_bucket{method="GetPatient",le="5"} 0
response_time_bucket{method="GetPatient",le="6"} 0
response_time_bucket{method="GetPatient",le="7"} 0
response_time_bucket{method="GetPatient",le="8"} 0
response_time_bucket{method="GetPatient",le="9"} 0
response_time_bucket{method="GetPatient",le="10"} 0
response_time_bucket{method="GetPatient",le="20"} 0
response_time_bucket{method="GetPatient",le="30"} 0
response_time_bucket{method="GetPatient",le="40"} 0
response_time_bucket{method="GetPatient",le="50"} 0
response_time_bucket{method="GetPatient",le="60"} 0
response_time_bucket{method="GetPatient",le="70"} 0
response_time_bucket{method="GetPatient",le="80"} 0
response_time_bucket{method="GetPatient",le="90"} 0
response_time_bucket{method="GetPatient",le="100"} 0
response_time_bucket{method="GetPatient",le="200"} 0
response_time_bucket{method="GetPatient",le="300"} 0
response_time_bucket{method="GetPatient",le="400"} 0
response_time_bucket{method="GetPatient",le="500"} 0
response_time_bucket{method="GetPatient",le="600"} 0
response_time_bucket{method="GetPatient",le="700"} 0
response_time_bucket{method="GetPatient",le="800"} 0
response_time_bucket{method="GetPatient",le="900"} 0
response_time_bucket{method="GetPatient",le="1000"} 0
response_time_bucket{method="GetPatient",le="1500"} 0
response_time_bucket{method="GetPatient",le="2000"} 0
response_time_bucket{method="GetPatient",le="2500"} 0
response_time_bucket{method="GetPatient",le="3000"} 0
response_time_bucket{method="GetPatient",le="3500"} 0
response_time_bucket{method="GetPatient",le="4000"} 0
response_time_bucket{method="GetPatient",le="4500"} 0
response_time_bucket{method="GetPatient",le="5000"} 0
response_time_bucket{method="GetPatient",le="5500"} 0
response_time_bucket{method="GetPatient",le="6000"} 0
response_time_bucket{method="GetPatient",le="6500"} 0
response_time_bucket{method="GetPatient",le="7000"} 0
response_time_bucket{method="GetPatient",le="7500"} 0
response_time_bucket{method="GetPatient",le="8000"} 0
response_time_bucket{method="GetPatient",le="8500"} 0
response_time_bucket{method="GetPatient",le="9000"} 0
response_time_bucket{method="GetPatient",le="9500"} 0
response_time_bucket{method="GetPatient",le="10000"} 0
response_time_bucket{method="GetPatient",le="15000"} 0
response_time_bucket{method="GetPatient",le="30000"} 0
response_time_bucket{method="GetPatient",le="+Inf"} 350
response_time_sum{method="GetImageMetadata"} 14950.5342
response_time_count{method="GetImageMetadata"} 99
response_time_bucket{method="GetImageMetadata",le="1"} 0
response_time_bucket{method="GetImageMetadata",le="2"} 0
response_time_bucket{method="GetImageMetadata",le="3"} 0
response_time_bucket{method="GetImageMetadata",le="4"} 0
response_time_bucket{method="GetImageMetadata",le="5"} 0
response_time_bucket{method="GetImageMetadata",le="6"} 0
response_time_bucket{method="GetImageMetadata",le="7"} 0
response_time_bucket{method="GetImageMetadata",le="8"} 0
response_time_bucket{method="GetImageMetadata",le="9"} 55
response_time_bucket{method="GetImageMetadata",le="10"} 63
response_time_bucket{method="GetImageMetadata",le="20"} 84
response_time_bucket{method="GetImageMetadata",le="30"} 97
response_time_bucket{method="GetImageMetadata",le="40"} 97
response_time_bucket{method="GetImageMetadata",le="50"} 98
response_time_bucket{method="GetImageMetadata",le="60"} 99
response_time_bucket{method="GetImageMetadata",le="70"} 99
response_time_bucket{method="GetImageMetadata",le="80"} 99
response_time_bucket{method="GetImageMetadata",le="90"} 99
response_time_bucket{method="GetImageMetadata",le="100"} 99
response_time_bucket{method="GetImageMetadata",le="200"} 99
response_time_bucket{method="GetImageMetadata",le="300"} 99
response_time_bucket{method="GetImageMetadata",le="400"} 99
response_time_bucket{method="GetImageMetadata",le="500"} 99
response_time_bucket{method="GetImageMetadata",le="600"} 99
response_time_bucket{method="GetImageMetadata",le="700"} 99
response_time_bucket{method="GetImageMetadata",le="800"} 99
response_time_bucket{method="GetImageMetadata",le="900"} 99
response_time_bucket{method="GetImageMetadata",le="1000"} 99
response_time_bucket{method="GetImageMetadata",le="1500"} 99
response_time_bucket{method="GetImageMetadata",le="2000"} 99
response_time_bucket{method="GetImageMetadata",le="2500"} 99
response_time_bucket{method="GetImageMetadata",le="3000"} 99
response_time_bucket{method="GetImageMetadata",le="3500"} 99
response_time_bucket{method="GetImageMetadata",le="4000"} 99
response_time_bucket{method="GetImageMetadata",le="4500"} 99
response_time_bucket{method="GetImageMetadata",le="5000"} 99
response_time_bucket{method="GetImageMetadata",le="5500"} 99
response_time_bucket{method="GetImageMetadata",le="6000"} 99
response_time_bucket{method="GetImageMetadata",le="6500"} 99
response_time_bucket{method="GetImageMetadata",le="7000"} 99
response_time_bucket{method="GetImageMetadata",le="7500"} 99
response_time_bucket{method="GetImageMetadata",le="8000"} 99
response_time_bucket{method="GetImageMetadata",le="8500"} 99
response_time_bucket{method="GetImageMetadata",le="9000"} 99
response_time_bucket{method="GetImageMetadata",le="9500"} 99
response_time_bucket{method="GetImageMetadata",le="10000"} 99
response_time_bucket{method="GetImageMetadata",le="15000"} 99
response_time_bucket{method="GetImageMetadata",le="30000"} 99
response_time_bucket{method="GetImageMetadata",le="+Inf"} 99
response_time_sum{method="Logout"} 1960700.5342
response_time_count{method="Logout"} 2090
response_time_bucket{method="Logout",le="1"} 0
response_time_bucket{method="Logout",le="2"} 0
response_time_bucket{method="Logout",le="3"} 0
response_time_bucket{method="Logout",le="4"} 0
response_time_bucket{method="Logout",le="5"} 0
response_time_bucket{method="Logout",le="6"} 0
response_time_bucket{method="Logout",le="7"} 0
response_time_bucket{method="Logout",le="8"} 0
response_time_bucket{method="Logout",le="9"} 0
response_time_bucket{method="Logout",le="10"} 0
response_time_bucket{method="Logout",le="20"} 0
response_time_bucket{method="Logout",le="30"} 0
response_time_bucket{method="Logout",le="40"} 0
response_time_bucket{method="Logout",le="50"} 0
response_time_bucket{method="Logout",le="60"} 0
response_time_bucket{method="Logout",le="70"} 0
response_time_bucket{method="Logout",le="80"} 143
response_time_bucket{method="Logout",le="90"} 2020
response_time_bucket{method="Logout",le="100"} 2042
response_time_bucket{method="Logout",le="200"} 2066
response_time_bucket{method="Logout",le="300"} 2083
response_time_bucket{method="Logout",le="400"} 2086
response_time_bucket{method="Logout",le="500"} 2086
response_time_bucket{method="Logout",le="600"} 2090
response_time_bucket{method="Logout",le="700"} 2090
response_time_bucket{method="Logout",le="800"} 2090
response_time_bucket{method="Logout",le="900"} 2090
response_time_bucket{method="Logout",le="1000"} 2090
response_time_bucket{method="Logout",le="1500"} 2090
response_time_bucket{method="Logout",le="2000"} 2090
response_time_bucket{method="Logout",le="2500"} 2090
response_time_bucket{method="Logout",le="3000"} 2090
response_time_bucket{method="Logout",le="3500"} 2090
response_time_bucket{method="Logout",le="4000"} 2090
response_time_bucket{method="Logout",le="4500"} 2090
response_time_bucket{method="Logout",le="5000"} 2090
response_time_bucket{method="Logout",le="5500"} 2090
response_time_bucket{method="Logout",le="6000"} 2090
response_time_bucket{method="Logout",le="6500"} 2090
response_time_bucket{method="Logout",le="7000"} 2090
response_time_bucket{method="Logout",le="7500"} 2090
response_time_bucket{method="Logout",le="8000"} 2090
response_time_bucket{method="Logout",le="8500"} 2090
response_time_bucket{method="Logout",le="9000"} 2090
response_time_bucket{method="Logout",le="9500"} 2090
response_time_bucket{method="Logout",le="10000"} 2090
response_time_bucket{method="Logout",le="15000"} 2090
response_time_bucket{method="Logout",le="30000"} 2090
response_time_bucket{method="Logout",le="+Inf"} 2090
response_time_sum{method="GetWorklistTree"} 44470.5342
response_time_count{method="GetWorklistTree"} 1701
response_time_bucket{method="GetWorklistTree",le="1"} 0
response_time_bucket{method="GetWorklistTree",le="2"} 965
response_time_bucket{method="GetWorklistTree",le="3"} 1631
response_time_bucket{method="GetWorklistTree",le="4"} 1648
response_time_bucket{method="GetWorklistTree",le="5"} 1664
response_time_bucket{method="GetWorklistTree",le="6"} 1676
response_time_bucket{method="GetWorklistTree",le="7"} 1686
response_time_bucket{method="GetWorklistTree",le="8"} 1686
response_time_bucket{method="GetWorklistTree",le="9"} 1687
response_time_bucket{method="GetWorklistTree",le="10"} 1693
response_time_bucket{method="GetWorklistTree",le="20"} 1701
response_time_bucket{method="GetWorklistTree",le="30"} 1701
response_time_bucket{method="GetWorklistTree",le="40"} 1701
response_time_bucket{method="GetWorklistTree",le="50"} 1701
response_time_bucket{method="GetWorklistTree",le="60"} 1701
response_time_bucket{method="GetWorklistTree",le="70"} 1701
response_time_bucket{method="GetWorklistTree",le="80"} 1701
response_time_bucket{method="GetWorklistTree",le="90"} 1701
response_time_bucket{method="GetWorklistTree",le="100"} 1701
response_time_bucket{method="GetWorklistTree",le="200"} 1701
response_time_bucket{method="GetWorklistTree",le="300"} 1701
response_time_bucket{method="GetWorklistTree",le="400"} 1701
response_time_bucket{method="GetWorklistTree",le="500"} 1701
response_time_bucket{method="GetWorklistTree",le="600"} 1701
response_time_bucket{method="GetWorklistTree",le="700"} 1701
response_time_bucket{method="GetWorklistTree",le="800"} 1701
response_time_bucket{method="GetWorklistTree",le="900"} 1701
response_time_bucket{method="GetWorklistTree",le="1000"} 1701
response_time_bucket{method="GetWorklistTree",le="1500"} 1701
response_time_bucket{method="GetWorklistTree",le="2000"} 1701
response_time_bucket{method="GetWorklistTree",le="2500"} 1701
response_time_bucket{method="GetWorklistTree",le="3000"} 1701
response_time_bucket{method="GetWorklistTree",le="3500"} 1701
response_time_bucket{method="GetWorklistTree",le="4000"} 1701
response_time_bucket{method="GetWorklistTree",le="4500"} 1701
response_time_bucket{method="GetWorklistTree",le="5000"} 1701
response_time_bucket{method="GetWorklistTree",le="5500"} 1701
response_time_bucket{method="GetWorklistTree",le="6000"} 1701
response_time_bucket{method="GetWorklistTree",le="6500"} 1701
response_time_bucket{method="GetWorklistTree",le="7000"} 1701
response_time_bucket{method="GetWorklistTree",le="7500"} 1701
response_time_bucket{method="GetWorklistTree",le="8000"} 1701
response_time_bucket{method="GetWorklistTree",le="8500"} 1701
response_time_bucket{method="GetWorklistTree",le="9000"} 1701
response_time_bucket{method="GetWorklistTree",le="9500"} 1701
response_time_bucket{method="GetWorklistTree",le="10000"} 1701
response_time_bucket{method="GetWorklistTree",le="15000"} 1701
response_time_bucket{method="GetWorklistTree",le="30000"} 1701
response_time_bucket{method="GetWorklistTree",le="+Inf"} 1701
response_time_sum{method="GetReportsAndThumbnails"} 25200000.5342
response_time_count{method="GetReportsAndThumbnails"} 240
response_time_bucket{method="GetReportsAndThumbnails",le="1"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="20"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="30"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="40"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="50"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="60"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="70"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="80"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="90"} 0
