# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_count{method="GetPatient"} 34
response_time_bucket{method="GetPatient",le="1"} 0
response_time_bucket{method="GetPatient",le="2"} 0
response_time_bucket{method="GetPatient",le="3"} 0
response_time_bucket{method="GetPatient",le="4"} 0
response_time_bucket{method="GetPatient",le="5"} 0
response_time_bucket{method="GetPatient",le="6"} 0
response_time_bucket{method="GetPatient",le="7"} 0
response_time_bucket{method="GetPatient",le="8"} 0
response_time_bucket{method="GetPatient",le="9"} 0
response_time_bucket{method="GetPatient",le="10"} 0
response_time_bucket{method="GetPatient",le="20"} 0
response_time_bucket{method="GetPatient",le="30"} 0
response_time_bucket{method="GetPatient",le="40"} 0
response_time_bucket{method="GetPatient",le="50"} 0
response_time_bucket{method="GetPatient",le="60"} 0
response_time_bucket{method="GetPatient",le="70"} 0
response_time_bucket{method="GetPatient",le="80"} 0
response_time_bucket{method="GetPatient",le="90"} 0
response_time_bucket{method="GetPatient",le="100"} 0
response_time_bucket{method="GetPatient",le="200"} 0
response_time_bucket{method="GetPatient",le="300"} 0
response_time_bucket{method="GetPatient",le="400"} 0
response_time_bucket{method="GetPatient",le="500"} 0
response_time_bucket{method="GetPatient",le="600"} 0
response_time_bucket{method="GetPatient",le="700"} 0
response_time_bucket{method="GetPatient",le="800"} 0
response_time_bucket{method="GetPatient",le="900"} 0
response_time_bucket{method="GetPatient",le="1000"} 0
response_time_bucket{method="GetPatient",le="1500"} 0
response_time_bucket{method="GetPatient",le="2000"} 0
response_time_bucket{method="GetPatient",le="2500"} 0
response_time_bucket{method="GetPatient",le="3000"} 0
response_time_bucket{method="GetPatient",le="3500"} 0
response_time_bucket{method="GetPatient",le="4000"} 0
response_time_bucket{method="GetPatient",le="4500"} 0
response_time_bucket{method="GetPatient",le="5000"} 0
response_time_bucket{method="GetPatient",le="5500"} 0
response_time_bucket{method="GetPatient",le="6000"} 0
response_time_bucket{method="GetPatient",le="6500"} 0
response_time_bucket{method="GetPatient",le="7000"} 0
response_time_bucket{method="GetPatient",le="7500"} 0
response_time_bucket{method="GetPatient",le="8000"} 0
response_time_bucket{method="GetPatient",le="8500"} 0
response_time_bucket{method="GetPatient",le="9000"} 0
response_time_bucket{method="GetPatient",le="9500"} 0
response_time_bucket{method="GetPatient",le="10000"} 0
response_time_bucket{method="GetPatient",le="15000"} 0
response_time_bucket{method="GetPatient",le="30000"} 0
response_time_bucket{method="GetPatient",le="+Inf"} 34
response_time_sum{method="GetImageMetadata"} 3628000.5342
response_time_count{method="GetImageMetadata"} 777
response_time_bucket{method="GetImageMetadata",le="1"} 0
response_time_bucket{method="GetImageMetadata",le="2"} 0
response_time_bucket{method="GetImageMetadata",le="3"} 0
response_time_bucket{method="GetImageMetadata",le="4"} 0
response_time_bucket{method="GetImageMetadata",le="5"} 0
response_time_bucket{method="GetImageMetadata",le="6"} 0
response_time_bucket{method="GetImageMetadata",le="7"} 0
response_time_bucket{method="GetImageMetadata",le="8"} 0
response_time_bucket{method="GetImageMetadata",le="9"} 0
response_time_bucket{method="GetImageMetadata",le="10"} 0
response_time_bucket{method="GetImageMetadata",le="20"} 0
response_time_bucket{method="GetImageMetadata",le="30"} 0
response_time_bucket{method="GetImageMetadata",le="40"} 0
response_time_bucket{method="GetImageMetadata",le="50"} 0
response_time_bucket{method="GetImageMetadata",le="60"} 0
response_time_bucket{method="GetImageMetadata",le="70"} 0
response_time_bucket{method="GetImageMetadata",le="80"} 0
response_time_bucket{method="GetImageMetadata",le="90"} 0
response_time_bucket{method="GetImageMetadata",le="100"} 0
response_time_bucket{method="GetImageMetadata",le="200"} 0
response_time_bucket{method="GetImageMetadata",le="300"} 0
response_time_bucket{method="GetImageMetadata",le="400"} 611
response_time_bucket{method="GetImageMetadata",le="500"} 641
response_time_bucket{method="GetImageMetadata",le="600"} 681
response_time_bucket{method="GetImageMetadata",le="700"} 725
response_time_bucket{method="GetImageMetadata",le="800"} 749
response_time_bucket{method="GetImageMetadata",le="900"} 765
response_time_bucket{method="GetImageMetadata",le="1000"} 772
response_time_bucket{method="GetImageMetadata",le="1500"} 776
response_time_bucket{method="GetImageMetadata",le="2000"} 777
response_time_bucket{method="GetImageMetadata",le="2500"} 777
response_time_bucket{method="GetImageMetadata",le="3000"} 777
response_time_bucket{method="GetImageMetadata",le="3500"} 777
response_time_bucket{method="GetImageMetadata",le="4000"} 777
response_time_bucket{method="GetImageMetadata",le="4500"} 777
response_time_bucket{method="GetImageMetadata",le="5000"} 777
response_time_bucket{method="GetImageMetadata",le="5500"} 777
response_time_bucket{method="GetImageMetadata",le="6000"} 777
response_time_bucket{method="GetImageMetadata",le="6500"} 777
response_time_bucket{method="GetImageMetadata",le="7000"} 777
response_time_bucket{method="GetImageMetadata",le="7500"} 777
response_time_bucket{method="GetImageMetadata",le="8000"} 777
response_time_bucket{method="GetImageMetadata",le="8500"} 777
response_time_bucket{method="GetImageMetadata",le="9000"} 777
response_time_bucket{method="GetImageMetadata",le="9500"} 777
response_time_bucket{method="GetImageMetadata",le="10000"} 777
response_time_bucket{method="GetImageMetadata",le="15000"} 777
response_time_bucket{method="GetImageMetadata",le="30000"} 777
response_time_bucket{method="GetImageMetadata",le="+Inf"} 777
response_time_sum{method="Logout"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_count{method="Logout"} 996
response_time_bucket{method="Logout",le="1"} 0
response_time_bucket{method="Logout",le="2"} 0
response_time_bucket{method="Logout",le="3"} 0
response_time_bucket{method="Logout",le="4"} 0
response_time_bucket{method="Logout",le="5"} 0
response_time_bucket{method="Logout",le="6"} 0
response_time_bucket{method="Logout",le="7"} 0
response_time_bucket{method="Logout",le="8"} 0
response_time_bucket{method="Logout",le="9"} 0
response_time_bucket{method="Logout",le="10"} 0
response_time_bucket{method="Logout",le="20"} 0
response_time_bucket{method="Logout",le="30"} 0
response_time_bucket{method="Logout",le="40"} 0
response_time_bucket{method="Logout",le="50"} 0
response_time_bucket{method="Logout",le="60"} 0
response_time_bucket{method="Logout",le="70"} 0
response_time_bucket{method="Logout",le="80"} 0
response_time_bucket{method="Logout",le="90"} 0
response_time_bucket{method="Logout",le="100"} 0
response_time_bucket{method="Logout",le="200"} 0
response_time_bucket{method="Logout",le="300"} 0
response_time_bucket{method="Logout",le="400"} 0
response_time_bucket{method="Logout",le="500"} 0
response_time_bucket{method="Logout",le="600"} 0
response_time_bucket{method="Logout",le="700"} 0
response_time_bucket{method="Logout",le="800"} 0
response_time_bucket{method="Logout",le="900"} 0
response_time_bucket{method="Logout",le="1000"} 0
response_time_bucket{method="Logout",le="1500"} 0
response_time_bucket{method="Logout",le="2000"} 0
response_time_bucket{method="Logout",le="2500"} 0
response_time_bucket{method="Logout",le="3000"} 0
response_time_bucket{method="Logout",le="3500"} 0
response_time_bucket{method="Logout",le="4000"} 0
response_time_bucket{method="Logout",le="4500"} 0
response_time_bucket{method="Logout",le="5000"} 0
response_time_bucket{method="Logout",le="5500"} 0
response_time_bucket{method="Logout",le="6000"} 0
response_time_bucket{method="Logout",le="6500"} 0
response_time_bucket{method="Logout",le="7000"} 0
response_time_bucket{method="Logout",le="7500"} 0
response_time_bucket{method="Logout",le="8000"} 0
response_time_bucket{method="Logout",le="8500"} 0
response_time_bucket{method="Logout",le="9000"} 0
response_time_bucket{method="Logout",le="9500"} 0
response_time_bucket{method="Logout",le="10000"} 0
response_time_bucket{method="Logout",le="15000"} 0
response_time_bucket{method="Logout",le="30000"} 0
response_time_bucket{method="Logout",le="+Inf"} 184
response_time_sum{method="GetWorklistTree"} 19240000.5342
response_time_count{method="GetWorklistTree"} 224
response_time_bucket{method="GetWorklistTree",le="1"} 0
response_time_bucket{method="GetWorklistTree",le="2"} 0
response_time_bucket{method="GetWorklistTree",le="3"} 0
response_time_bucket{method="GetWorklistTree",le="4"} 0
response_time_bucket{method="GetWorklistTree",le="5"} 0
response_time_bucket{method="GetWorklistTree",le="6"} 0
response_time_bucket{method="GetWorklistTree",le="7"} 0
response_time_bucket{method="GetWorklistTree",le="8"} 0
response_time_bucket{method="GetWorklistTree",le="9"} 0
response_time_bucket{method="GetWorklistTree",le="10"} 0
response_time_bucket{method="GetWorklistTree",le="20"} 0
response_time_bucket{method="GetWorklistTree",le="30"} 0
response_time_bucket{method="GetWorklistTree",le="40"} 0
response_time_bucket{method="GetWorklistTree",le="50"} 0
response_time_bucket{method="GetWorklistTree",le="60"} 0
response_time_bucket{method="GetWorklistTree",le="70"} 0
response_time_bucket{method="GetWorklistTree",le="80"} 0
response_time_bucket{method="GetWorklistTree",le="90"} 0
response_time_bucket{method="GetWorklistTree",le="100"} 0
response_time_bucket{method="GetWorklistTree",le="200"} 0
response_time_bucket{method="GetWorklistTree",le="300"} 0
response_time_bucket{method="GetWorklistTree",le="400"} 0
response_time_bucket{method="GetWorklistTree",le="500"} 0
response_time_bucket{method="GetWorklistTree",le="600"} 0
response_time_bucket{method="GetWorklistTree",le="700"} 0
response_time_bucket{method="GetWorklistTree",le="800"} 0
response_time_bucket{method="GetWorklistTree",le="900"} 0
response_time_bucket{method="GetWorklistTree",le="1000"} 0
response_time_bucket{method="GetWorklistTree",le="1500"} 0
response_time_bucket{method="GetWorklistTree",le="2000"} 0
response_time_bucket{method="GetWorklistTree",le="2500"} 0
response_time_bucket{method="GetWorklistTree",le="3000"} 0
response_time_bucket{method="GetWorklistTree",le="3500"} 0
response_time_bucket{method="GetWorklistTree",le="4000"} 0
response_time_bucket{method="GetWorklistTree",le="4500"} 0
response_time_bucket{method="GetWorklistTree",le="5000"} 0
response_time_bucket{method="GetWorklistTree",le="5500"} 0
response_time_bucket{method="GetWorklistTree",le="6000"} 0
response_time_bucket{method="GetWorklistTree",le="6500"} 0
response_time_bucket{method="GetWorklistTree",le="7000"} 0
response_time_bucket{method="GetWorklistTree",le="7500"} 0
response_time_bucket{method="GetWorklistTree",le="8000"} 98
response_time_bucket{method="GetWorklistTree",le="8500"} 100
response_time_bucket{method="GetWorklistTree",le="9000"} 110
response_time_bucket{method="GetWorklistTree",le="9500"} 184
response_time_bucket{method="GetWorklistTree",le="10000"} 202
response_time_bucket{method="GetWorklistTree",le="15000"} 208
response_time_bucket{method="GetWorklistTree",le="30000"} 210
response_time_bucket{method="GetWorklistTree",le="+Inf"} 224
response_time_sum{method="GetReportsAndThumbnails"} 31415000.5342
response_time_count{method="GetReportsAndThumbnails"} 393
response_time_bucket{method="GetReportsAndThumbnails",le="1"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="10"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="20"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="30"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="40"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="50"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="60"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="70"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="80"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="90"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="100"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="200"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="300"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="400"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="600"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="700"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="800"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="900"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="1000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="1500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="2500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="3500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="4500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="5500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="6500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="7500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="8500"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9000"} 0
response_time_bucket{method="GetReportsAndThumbnails",le="9500"} 187
response_time_bucket{method="GetReportsAndThumbnails",le="10000"} 190
response_time_bucket{method="GetReportsAndThumbnails",le="15000"} 263
response_time_bucket{method="GetReportsAndThumbnails",le="30000"} 271
response_time_bucket{method="GetReportsAndThumbnails",le="+Inf"} 393
response_time_sum{method="GetPatientHistory"} 124925000.5342
response_time_count{method="GetPatientHistory"} 912
response_time_bucket{method="GetPatientHistory",le="1"} 0
response_time_bucket{method="GetPatientHistory",le="2"} 0
response_time_bucket{method="GetPatientHistory",le="3"} 0
response_time_bucket{method="GetPatientHistory",le="4"} 0
response_time_bucket{method="GetPatientHistory",le="5"} 0
response_time_bucket{method="GetPatientHistory",le="6"} 0
response_time_bucket{method="GetPatientHistory",le="7"} 0
response_time_bucket{method="GetPatientHistory",le="8"} 0
response_time_bucket{method="GetPatientHistory",le="9"} 0
response_time_bucket{method="GetPatientHistory",le="10"} 0
response_time_bucket{method="GetPatientHistory",le="20"} 0
response_time_bucket{method="GetPatientHistory",le="30"} 0
response_time_bucket{method="GetPatientHistory",le="40"} 0
response_time_bucket{method="GetPatientHistory",le="50"} 0
response_time_bucket{method="GetPatientHistory",le="60"} 0
response_time_bucket{method="GetPatientHistory",le="70"} 0
response_time_bucket{method="GetPatientHistory",le="80"} 0
response_time_bucket{method="GetPatientHistory",le="90"} 0
response_time_bucket{method="GetPatientHistory",le="100"} 0
response_time_bucket{method="GetPatientHistory",le="200"} 0
